lev,term,time,estimate,r.squared,adj.r.squared
700,full,2011-12-01T00:00:00Z,2.05199323766606,0.412339369879798,0.412198579120306
700,sym,2011-12-01T00:00:00Z,2.19603641221919,0.439919822562447,0.439785639482084
700,asym,2011-12-01T00:00:00Z,0.416071803999092,0.0111559408885293,0.0109190352682343
50,full,2011-12-01T00:00:00Z,1.83050536861091,0.30012458930755,0.299956914316967
50,sym,2011-12-01T00:00:00Z,2.03508209304503,0.326137669770619,0.325976226950727
50,asym,2011-12-01T00:00:00Z,0.217449136507916,0.00470659242513238,0.0044681416806247
700,full,2011-12-02T00:00:00Z,2.11245035542402,0.429341737804119,0.429205020443746
700,sym,2011-12-02T00:00:00Z,1.90312058395694,0.324604252860445,0.324442442667072
700,asym,2011-12-02T00:00:00Z,1.29728812951283,0.106553974965744,0.106339924648294
50,full,2011-12-02T00:00:00Z,1.79530051009092,0.294048257563695,0.293879126815627
50,sym,2011-12-02T00:00:00Z,2.02108880361807,0.327636763563398,0.327475679893911
50,asym,2011-12-02T00:00:00Z,0.164395325960426,0.00274002726771783,0.00250110537679005
700,full,2011-12-03T00:00:00Z,1.736148178248,0.311709535065842,0.311544635577358
700,sym,2011-12-03T00:00:00Z,1.2710224011535,0.155623229851297,0.155420935464582
700,asym,2011-12-03T00:00:00Z,1.77834993500467,0.215217526835569,0.215029509951725
50,full,2011-12-03T00:00:00Z,1.89350067196638,0.326759277938315,0.326597984042277
50,sym,2011-12-03T00:00:00Z,2.03532660515368,0.331927131608061,0.331767075817838
50,asym,2011-12-03T00:00:00Z,0.360572646012731,0.0131678298516962,0.0129314062364235
700,full,2011-12-04T00:00:00Z,1.70962214770016,0.315492357819476,0.315328364613395
700,sym,2011-12-04T00:00:00Z,1.13393342576279,0.129287099820142,0.129078495867057
700,asym,2011-12-04T00:00:00Z,2.03709904101185,0.294767461855533,0.294598503413237
50,full,2011-12-04T00:00:00Z,2.04109190264875,0.360622594846588,0.360469413867874
50,sym,2011-12-04T00:00:00Z,2.07418728607449,0.327417044091419,0.327255907781905
50,asym,2011-12-04T00:00:00Z,0.621482672753406,0.0371550214020958,0.0369243445984069
700,full,2011-12-05T00:00:00Z,2.00376635584372,0.401631605622776,0.401488249514875
700,sym,2011-12-05T00:00:00Z,1.45181949561219,0.196404065888617,0.19621154170699
700,asym,2011-12-05T00:00:00Z,2.08922335572708,0.287322836646891,0.28715209463363
50,full,2011-12-05T00:00:00Z,2.10936820523961,0.391495799767187,0.391350015339723
50,sym,2011-12-05T00:00:00Z,2.15045809103626,0.357735315500923,0.35758144279261
50,asym,2011-12-05T00:00:00Z,0.628885972739499,0.0386721024460553,0.0384417891021277
700,full,2011-12-06T00:00:00Z,2.33509829707628,0.506618487025747,0.506500283500837
700,sym,2011-12-06T00:00:00Z,1.84080077241117,0.293275497736515,0.293106181851929
700,asym,2011-12-06T00:00:00Z,2.07284075512497,0.26270555573194,0.26252891595133
50,full,2011-12-06T00:00:00Z,2.18953054453764,0.425406176086801,0.425268515851077
50,sym,2011-12-06T00:00:00Z,2.23418568039352,0.389419626286543,0.389273344452879
50,asym,2011-12-06T00:00:00Z,0.648891288013466,0.0415219090757577,0.0412922784837778
700,full,2011-12-07T00:00:00Z,2.30186077706169,0.499238734849451,0.49911876329575
700,sym,2011-12-07T00:00:00Z,2.10460077473812,0.388759599197497,0.388613159235637
700,asym,2011-12-07T00:00:00Z,1.33867341537471,0.111113320530169,0.110900362533171
50,full,2011-12-07T00:00:00Z,2.41798063678919,0.485632709906857,0.485509478644257
50,sym,2011-12-07T00:00:00Z,2.37673956459803,0.412518109103627,0.412377361166182
50,asym,2011-12-07T00:00:00Z,0.892590870452141,0.0735425740469083,0.0733206149127557
