lev,term,time,estimate,r.squared,adj.r.squared
700,full,1969-03-01T00:00:00Z,-0.252587810594993,0.0101015098916508,0.00986435165252564
700,sym,1969-03-01T00:00:00Z,-0.507524590097721,0.0379898168721784,0.0377593400674041
700,asym,1969-03-01T00:00:00Z,0.525160623616373,0.0287350864038817,0.0285023923661251
50,full,1969-03-01T00:00:00Z,0.314880135683097,0.124208081567307,0.123998260791449
50,sym,1969-03-01T00:00:00Z,0.412115743209588,0.187057562145668,0.186862798744169
50,asym,1969-03-01T00:00:00Z,-0.0831796756239678,0.0096321984760831,0.00939492780010709
700,full,1969-03-02T00:00:00Z,-0.674837530594354,0.0914068134432976,0.0911891341940026
700,sym,1969-03-02T00:00:00Z,-0.643838114951735,0.0775041550162523,0.0772831449911005
700,asym,1969-03-02T00:00:00Z,-0.327263042078332,0.0141462301774022,0.0139100409656575
50,full,1969-03-02T00:00:00Z,0.396861179751103,0.247944409046003,0.247764232814342
50,sym,1969-03-02T00:00:00Z,0.387711802145971,0.208052365271267,0.207862631769894
50,asym,1969-03-02T00:00:00Z,0.151126775626709,0.0399568797317817,0.0397268741926662
700,full,1969-03-03T00:00:00Z,-0.991848089061468,0.181777262939909,0.181581234493081
700,sym,1969-03-03T00:00:00Z,-0.90413523652539,0.140704353077811,0.140498484451332
700,asym,1969-03-03T00:00:00Z,-0.583418978755749,0.0413882461785079,0.0411585835637927
50,full,1969-03-03T00:00:00Z,0.346392812298162,0.250460174111164,0.250280600602326
50,sym,1969-03-03T00:00:00Z,0.352396583228169,0.227898698857833,0.227713720108158
50,asym,1969-03-03T00:00:00Z,0.104719084954032,0.0254380761877091,0.025204592257711
700,full,1969-03-04T00:00:00Z,-1.18597645310919,0.201937502296699,0.201746303806593
700,sym,1969-03-04T00:00:00Z,-1.0673639735041,0.152363672784821,0.152160597478828
700,asym,1969-03-04T00:00:00Z,-0.73097511261906,0.0504820182291825,0.0502545342852988
50,full,1969-03-04T00:00:00Z,0.0818370547715412,0.019294704785486,0.0190597490367522
50,sym,1969-03-04T00:00:00Z,0.0947087331384056,0.0227193417135837,0.0224852064336876
50,asym,1969-03-04T00:00:00Z,0.00248082401364686,1.9704332244963e-05,-0.00021986928914175
700,full,1969-03-05T00:00:00Z,-1.04075635631555,0.146529525021076,0.146325051979634
700,sym,1969-03-05T00:00:00Z,-0.87333170119205,0.0961118536271268,0.0958953016035588
700,asym,1969-03-05T00:00:00Z,-0.795366310125951,0.0563155150872003,0.0560894287228225
50,full,1969-03-05T00:00:00Z,0.119555602905387,0.0329670882209704,0.032735408079193
50,sym,1969-03-05T00:00:00Z,0.0989775403145277,0.0198651372357687,0.0196303181502957
