lev,term,time,estimate,r.squared,adj.r.squared
700,full,1988-07-01T00:00:00Z,-0.779674434422815,0.0487817190356079,0.0485538277368622
700,sym,1988-07-01T00:00:00Z,0.0503922689014406,0.000189823441854031,-4.97094226783457e-05
700,asym,1988-07-01T00:00:00Z,-2.30802128466566,0.28130458578407,0.281132401928244
50,full,1988-07-01T00:00:00Z,0.0512543281073214,0.000552661812311395,0.00031321587599431
50,sym,1988-07-01T00:00:00Z,0.653838115278385,0.0790708429434297,0.078850208262774
50,asym,1988-07-01T00:00:00Z,-1.1539099154467,0.311296207419299,0.311131208906462
700,full,1988-07-02T00:00:00Z,-0.509325861269077,0.0217739481541711,0.0215395863784533
700,sym,1988-07-02T00:00:00Z,0.25336856874281,0.00501929486540409,0.00478091903762878
700,asym,1988-07-02T00:00:00Z,-2.04338634377797,0.230628716138245,0.230444391441585
50,full,1988-07-02T00:00:00Z,0.227478928992889,0.0153144210877831,0.0150785117492799
50,sym,1988-07-02T00:00:00Z,0.73825356257431,0.141810004451988,0.141604400715633
50,asym,1988-07-02T00:00:00Z,-0.916266121641567,0.276116999030217,0.275943572340957
700,full,1988-07-03T00:00:00Z,-0.349488368880555,0.0105944167442321,0.0103573765949135
700,sym,1988-07-03T00:00:00Z,0.275682341630565,0.00614074413593202,0.00590263698311366
700,asym,1988-07-03T00:00:00Z,-1.64955082066652,0.155313669033047,0.155111300482265
50,full,1988-07-03T00:00:00Z,0.184472706741987,0.00703730382447454,0.00679941146793983
50,sym,1988-07-03T00:00:00Z,0.624346085231402,0.0708712969105757,0.0706486977962754
50,asym,1988-07-03T00:00:00Z,-0.792918421747222,0.144487650337629,0.144282688107235
700,full,1988-07-04T00:00:00Z,-0.210459858126879,0.00380274086547661,0.00356407357771082
700,sym,1988-07-04T00:00:00Z,0.42622695688657,0.0145288592771582,0.0142927617350588
700,asym,1988-07-04T00:00:00Z,-1.62562942219878,0.149302805083694,0.149098996460092
50,full,1988-07-04T00:00:00Z,0.146155361762546,0.00316379488623464,0.0029249745208505
50,sym,1988-07-04T00:00:00Z,0.483130011835846,0.0303937566205775,0.0301614599642815
50,asym,1988-07-04T00:00:00Z,-0.60580766054758,0.0604059875204334,0.0601808811446596
700,full,1988-07-05T00:00:00Z,-0.598226769809154,0.0259760043470402,0.0257426492929785
700,sym,1988-07-05T00:00:00Z,0.193528908982966,0.00253235078057434,0.00229337913485816
700,asym,1988-07-05T00:00:00Z,-2.14719063454409,0.220215838073309,0.220029018676585
50,full,1988-07-05T00:00:00Z,0.0268684338418668,8.60285670530869e-05,-0.000153529164483412
50,sym,1988-07-05T00:00:00Z,0.313169371637872,0.0102752898079033,0.0100381732026823
50,asym,1988-07-05T00:00:00Z,-0.547402728656118,0.0396829136810392,0.0394528425055914
700,full,1988-07-06T00:00:00Z,-0.410454435083212,0.0128017162631027,0.0125652049349434
700,sym,1988-07-06T00:00:00Z,0.273340126695337,0.00528854957764946,0.00505023825747153
700,asym,1988-07-06T00:00:00Z,-1.81475901725422,0.164680773454904,0.164480649059469
50,full,1988-07-06T00:00:00Z,-0.231805028385133,0.00484934266751236,0.00461092612287128
50,sym,1988-07-06T00:00:00Z,0.248045529020008,0.0048817721827249,0.00464336340749316
50,asym,1988-07-06T00:00:00Z,-1.01048346194587,0.102406433276601,0.102191389297989
700,full,1988-07-07T00:00:00Z,0.0729920616755635,0.000486485502529055,0.000247023711801297
700,sym,1988-07-07T00:00:00Z,0.457169440650271,0.0177772480283629,0.0175419287298549
700,asym,1988-07-07T00:00:00Z,-0.906245752618404,0.0493488787965556,0.0491211233770051
50,full,1988-07-07T00:00:00Z,-0.240521316330962,0.00492673089535745,0.00468833289125958
50,sym,1988-07-07T00:00:00Z,0.402830808156996,0.0121499526555398,0.011913285178936
50,asym,1988-07-07T00:00:00Z,-1.33118005279949,0.167709224796122,0.167509825952039
700,full,1988-07-08T00:00:00Z,0.219408317705716,0.00387112925740818,0.00363247835401992
700,sym,1988-07-08T00:00:00Z,0.358859669459537,0.00964655641709278,0.00940928918096839
700,asym,1988-07-08T00:00:00Z,-0.25693454317043,0.00349335860981348,0.00325461720075992
50,full,1988-07-08T00:00:00Z,-0.109983724175336,0.00130414653544131,0.00106488063858823
50,sym,1988-07-08T00:00:00Z,0.386162477100778,0.0141347205241159,0.0138985285549075
50,asym,1988-07-08T00:00:00Z,-1.00122251701158,0.120105367767968,0.119894564070739
700,full,1988-07-09T00:00:00Z,0.0192892747745202,2.4992520024858e-05,-0.000214579834426409
700,sym,1988-07-09T00:00:00Z,0.147111219019837,0.0013541330668283,0.00111487914566555
700,asym,1988-07-09T00:00:00Z,-0.303387722982028,0.00406856196324468,0.00382995836045685
50,full,1988-07-09T00:00:00Z,0.026844419093311,0.000114862192536536,-0.000124688631087722
50,sym,1988-07-09T00:00:00Z,0.312553153024617,0.0136897142572631,0.013453415674191
50,asym,1988-07-09T00:00:00Z,-0.54625983982582,0.0528566067441021,0.0526296917001979
700,full,1988-07-10T00:00:00Z,0.530809325753455,0.0216859114320372,0.0214515285646275
700,sym,1988-07-10T00:00:00Z,0.486725163519891,0.0169847710005892,0.0167492618417489
700,asym,1988-07-10T00:00:00Z,0.305286670350869,0.00472044515027148,0.0044819977245768
50,full,1988-07-10T00:00:00Z,-0.0182115572368029,4.54157384788267e-05,-0.000194151723011737
50,sym,1988-07-10T00:00:00Z,0.415663235219651,0.0208004616750911,0.0205658666730967
50,asym,1988-07-10T00:00:00Z,-0.849361708228592,0.109781515443671,0.109568238375018
700,full,1988-07-11T00:00:00Z,1.2208909750969,0.126352605526757,0.126143298532394
700,sym,1988-07-11T00:00:00Z,1.03897140609451,0.0852371914250747,0.0850180340679652
700,asym,1988-07-11T00:00:00Z,0.897837015380432,0.0449668150180509,0.0447380097509253
50,full,1988-07-11T00:00:00Z,-0.112989309080383,0.00146305322563589,0.00122382539938426
50,sym,1988-07-11T00:00:00Z,0.427237851834846,0.0183908752608459,0.0181557029741332
50,asym,1988-07-11T00:00:00Z,-1.08790444473551,0.150729609505635,0.150526142713471
700,full,1988-07-12T00:00:00Z,1.22727313258882,0.123922788526964,0.123712899401072
700,sym,1988-07-12T00:00:00Z,0.935686985618254,0.0670998280411227,0.0668763253645633
700,asym,1988-07-12T00:00:00Z,1.16669377978802,0.0736968913345586,0.0734749691714859
50,full,1988-07-12T00:00:00Z,0.210795706135959,0.00648460017774388,0.00624657540538598
50,sym,1988-07-12T00:00:00Z,0.491246985542403,0.0309625708672151,0.0307304104864933
50,asym,1988-07-12T00:00:00Z,-0.47423451175028,0.0364735173884049,0.0362426773111142
700,full,1988-07-13T00:00:00Z,0.856589498385339,0.0598818924598939,0.0596566605222945
700,sym,1988-07-13T00:00:00Z,0.425097213207505,0.0137378271163929,0.0135015400601199
700,asym,1988-07-13T00:00:00Z,1.36825737129027,0.100543106306073,0.100327615914676
50,full,1988-07-13T00:00:00Z,0.564067444434915,0.0503738706769986,0.0501463608233036
50,sym,1988-07-13T00:00:00Z,0.424718572100551,0.0251086458375327,0.0248750829831574
50,asym,1988-07-13T00:00:00Z,0.460352667388718,0.0372868961206121,0.0370562509112495
700,full,1988-07-14T00:00:00Z,0.417863907791268,0.0143433597888237,0.0141072178050644
700,sym,1988-07-14T00:00:00Z,-0.053320255808767,0.000217549016179208,-2.19772059060208e-05
700,asym,1988-07-14T00:00:00Z,1.30091236209822,0.0914837442428054,0.0912660834244639
50,full,1988-07-14T00:00:00Z,0.59257503007986,0.0374128753743492,0.0371822603468874
50,sym,1988-07-14T00:00:00Z,0.151726734131554,0.00215643387651288,0.00191737216924792
50,asym,1988-07-14T00:00:00Z,1.0559001648187,0.13201149821099,0.131803546964754
700,full,1988-07-15T00:00:00Z,0.398866985433651,0.0125800094141001,0.0123434449697815
