lev,term,time,estimate,r.squared,adj.r.squared
700,full,1978-07-01T00:00:00Z,-0.965434800254071,0.0719049025620065,0.0716825510772346
700,sym,1978-07-01T00:00:00Z,-0.619731521040712,0.0276001397198887,0.0273671737734872
700,asym,1978-07-01T00:00:00Z,-1.20043786610222,0.0731574662735724,0.0729354148759379
50,full,1978-07-01T00:00:00Z,-0.999362122794276,0.134809315452266,0.134602034502446
50,sym,1978-07-01T00:00:00Z,-0.54666183154813,0.0354641186002481,0.0352330366928691
50,asym,1978-07-01T00:00:00Z,-1.21561461463763,0.22166524769803,0.22147877554846
700,full,1978-07-02T00:00:00Z,-0.724547163035877,0.0427043902635319,0.0424750429684345
700,sym,1978-07-02T00:00:00Z,-0.503747202689768,0.019228969260189,0.0189939977626472
700,asym,1978-07-02T00:00:00Z,-0.807009444257109,0.0348628686237921,0.0346316426699406
50,full,1978-07-02T00:00:00Z,-0.511991794275149,0.0382965738990798,0.0380661705866454
50,sym,1978-07-02T00:00:00Z,-0.538661515820627,0.0372686234970338,0.0370379739099463
50,asym,1978-07-02T00:00:00Z,-0.12019550808317,0.00234553570615825,0.00210651930359629
700,full,1978-07-03T00:00:00Z,-0.639614602398674,0.0316587557739597,0.0314267621840637
700,sym,1978-07-03T00:00:00Z,-0.569631156919677,0.023390315465629,0.023156340936512
700,asym,1978-07-03T00:00:00Z,-0.408838788064146,0.00851192850085381,0.0082743894324544
50,full,1978-07-03T00:00:00Z,-0.212814998299112,0.00615223495040795,0.0059141305505398
50,sym,1978-07-03T00:00:00Z,-0.579568349755723,0.0401157857461621,0.0398858182774862
50,asym,1978-07-03T00:00:00Z,0.641285499919634,0.0620816056683765,0.0618569007344207
700,full,1978-07-04T00:00:00Z,-1.33896731528015,0.124443506655329,0.124233742282223
700,sym,1978-07-04T00:00:00Z,-1.44594050820993,0.135183797928403,0.134976606696474
700,asym,1978-07-04T00:00:00Z,-0.239950685621121,0.0026299225526768,0.00239097428304391
50,full,1978-07-04T00:00:00Z,-0.0258887349802487,8.71365020790327e-05,-0.000152420964020239
50,sym,1978-07-04T00:00:00Z,-0.701815643069365,0.056299181917297,0.0560730916398454
50,asym,1978-07-04T00:00:00Z,1.30497625723943,0.246045448047134,0.245864816865544
700,full,1978-07-05T00:00:00Z,-1.90138712869556,0.201359570282051,0.201168233331951
700,sym,1978-07-05T00:00:00Z,-2.06794752893629,0.221871598230089,0.221685175517638
700,asym,1978-07-05T00:00:00Z,-0.30513198603677,0.00341250524940107,0.00317374446963337
50,full,1978-07-05T00:00:00Z,-0.284206544142266,0.0123098393990646,0.0120732102278618
50,sym,1978-07-05T00:00:00Z,-0.869956249245096,0.101404352648985,0.101189068593558
50,asym,1978-07-05T00:00:00Z,1.04292098018551,0.184212331571295,0.184016886514173
700,full,1978-07-06T00:00:00Z,-1.84633764296808,0.19629364892878,0.196101098293641
700,sym,1978-07-06T00:00:00Z,-2.08564767855435,0.233322917426186,0.233139238201803
700,asym,1978-07-06T00:00:00Z,-0.107809007632444,0.000440413656256577,0.000200940827712381
50,full,1978-07-06T00:00:00Z,-0.329858763571319,0.0184659020693492,0.0182307477574347
50,sym,1978-07-06T00:00:00Z,-0.832802892597502,0.103484774495599,0.103269988864189
50,asym,1978-07-06T00:00:00Z,0.866647925676666,0.141654876583165,0.141449235681532
700,full,1978-07-07T00:00:00Z,-1.83728540027324,0.177565120296662,0.177368082711683
700,sym,1978-07-07T00:00:00Z,-2.26863409005422,0.252188236618026,0.252009077115539
700,asym,1978-07-07T00:00:00Z,0.362196948608689,0.00454109582667006,0.00430260543276173
50,full,1978-07-07T00:00:00Z,-0.632890952114389,0.0502057224156786,0.0499781722773018
50,sym,1978-07-07T00:00:00Z,-0.99906325436247,0.109991456133063,0.109778229361653
