lev,term,time,estimate,r.squared,adj.r.squared
700,full,1992-03-01T00:00:00Z,-0.120201689435832,0.00192957321142695,0.00169045715326011
700,sym,1992-03-01T00:00:00Z,-0.443039115629809,0.0244183191688507,0.0241845909271566
700,asym,1992-03-01T00:00:00Z,0.739573545777643,0.0480694922017239,0.0478414302688541
50,full,1992-03-01T00:00:00Z,0.290806465849018,0.0655981403707615,0.0653742779223596
50,sym,1992-03-01T00:00:00Z,0.466000734479811,0.148092868885309,0.147888770387199
50,asym,1992-03-01T00:00:00Z,-0.242782309679551,0.0508099935827594,0.0505825882146671
700,full,1992-03-02T00:00:00Z,0.174350275653032,0.00309977893649493,0.00286094323427555
700,sym,1992-03-02T00:00:00Z,-0.169551185761278,0.00273072907413674,0.00249180495556323
700,asym,1992-03-02T00:00:00Z,0.900722009470296,0.054441950502066,0.0542154152721911
50,full,1992-03-02T00:00:00Z,0.421122572896344,0.0996093540022874,0.0993936399040609
50,sym,1992-03-02T00:00:00Z,0.658752654505495,0.214291710443138,0.214103471753738
50,asym,1992-03-02T00:00:00Z,-0.320341284719873,0.0640531598886401,0.0638289272963758
700,full,1992-03-03T00:00:00Z,0.0237610580613378,5.38294046970034e-05,-0.000185736041061313
700,sym,1992-03-03T00:00:00Z,-0.252474327804184,0.00566127146657669,0.00542304944249095
700,asym,1992-03-03T00:00:00Z,0.680083251050624,0.0290187609299424,0.0287861348544585
50,full,1992-03-03T00:00:00Z,0.664955816993862,0.272568508555068,0.272394231724343
50,sym,1992-03-03T00:00:00Z,0.726609235684058,0.286133995552931,0.285962968719091
50,asym,1992-03-03T00:00:00Z,0.103599831133024,0.00735258147194384,0.00711476464910532
700,full,1992-03-04T00:00:00Z,-0.50552304475277,0.0229307845111975,0.0226966998884163
700,sym,1992-03-04T00:00:00Z,-0.734237676316321,0.04506110466136,0.0448323219839909
700,asym,1992-03-04T00:00:00Z,0.367015569133574,0.00795376312140717,0.00771609032867149
50,full,1992-03-04T00:00:00Z,0.690527539447032,0.337235864582477,0.337077080649699
50,sym,1992-03-04T00:00:00Z,0.592119670335109,0.218005905490057,0.217818556641349
50,asym,1992-03-04T00:00:00Z,0.423273586681432,0.140813967788875,0.140608125423707
700,full,1992-03-05T00:00:00Z,-0.884358061790969,0.0629610366440335,0.0627365424026928
700,sym,1992-03-05T00:00:00Z,-1.04163370499711,0.081364909469611,0.0811448243976104
700,asym,1992-03-05T00:00:00Z,0.0519975587678396,0.000143234679510607,-9.63093466801457e-05
50,full,1992-03-05T00:00:00Z,0.540494305550146,0.206896228216882,0.206706217730111
50,sym,1992-03-05T00:00:00Z,0.368682295921225,0.0846354734139951,0.0844161718982821
50,asym,1992-03-05T00:00:00Z,0.515524755404411,0.209170786519195,0.208981320967331
700,full,1992-03-06T00:00:00Z,-0.867413274058711,0.0615908005922616,0.0613659780720394
700,sym,1992-03-06T00:00:00Z,-0.864947458873225,0.057047245710198,0.0568213346526297
700,asym,1992-03-06T00:00:00Z,-0.329825291067049,0.00586000937039699,0.00562183495960889
50,full,1992-03-06T00:00:00Z,0.631508803259762,0.253900179725515,0.253721430367519
50,sym,1992-03-06T00:00:00Z,0.364709498399828,0.0744519148010756,0.0742301735252733
50,asym,1992-03-06T00:00:00Z,0.73071484073897,0.377773680960446,0.377624609010509
700,full,1992-03-07T00:00:00Z,-0.718048261193449,0.0540583058493021,0.0538316787064772
700,sym,1992-03-07T00:00:00Z,-0.444248753218138,0.0192752092767928,0.0190402488573576
700,asym,1992-03-07T00:00:00Z,-0.933364510970062,0.0601069109702426,0.0598817329422048
50,full,1992-03-07T00:00:00Z,0.763651338922506,0.356200550840169,0.356046310435483
50,sym,1992-03-07T00:00:00Z,0.503376446257069,0.136071654564553,0.135864676043845
50,asym,1992-03-07T00:00:00Z,0.762434251506942,0.394585207390254,0.394440163117947
700,full,1992-03-08T00:00:00Z,-0.330097684268368,0.0140838803651008,0.0138476762156915
700,sym,1992-03-08T00:00:00Z,-0.0708236067157763,0.000603927709720842,0.000364494055602349
700,asym,1992-03-08T00:00:00Z,-0.753235168523226,0.0482575456573983,0.0480295287780637
50,full,1992-03-08T00:00:00Z,0.821216570992424,0.416581252084239,0.416441477587853
50,sym,1992-03-08T00:00:00Z,0.675817575930294,0.248039478847213,0.247859325392217
50,asym,1992-03-08T00:00:00Z,0.558512932709386,0.214132423429321,0.213944146578202
700,full,1992-03-09T00:00:00Z,-0.379810994091306,0.0182077603868588,0.017972544229788
700,sym,1992-03-09T00:00:00Z,-0.0606300610508253,0.000432204199532493,0.000192729404180136
700,asym,1992-03-09T00:00:00Z,-0.917359860256101,0.0698984608530175,0.0696756286682674
50,full,1992-03-09T00:00:00Z,0.826944275994356,0.443114410512267,0.442980992785988
50,sym,1992-03-09T00:00:00Z,0.808278388246587,0.372188414177166,0.372038004118273
50,asym,1992-03-09T00:00:00Z,0.314129597694149,0.0710579626070108,0.0708354082137686
700,full,1992-03-10T00:00:00Z,-0.689198299962835,0.0578580639723984,0.0576323471693251
700,sym,1992-03-10T00:00:00Z,-0.286643935603799,0.00932293215512525,0.00908558738563681
700,asym,1992-03-10T00:00:00Z,-1.23544976040008,0.122346728641807,0.1221364619261
50,full,1992-03-10T00:00:00Z,0.787404511599574,0.404554637534568,0.404411981721807
50,sym,1992-03-10T00:00:00Z,0.758539216021161,0.330076797074087,0.329916297983784
50,asym,1992-03-10T00:00:00Z,0.320667004470154,0.0745626934428652,0.0743409787072261
700,full,1992-03-11T00:00:00Z,-1.06104955193345,0.1200493707177,0.119838553604791
700,sym,1992-03-11T00:00:00Z,-0.487285883583841,0.0235856430327648,0.0233517152999025
700,asym,1992-03-11T00:00:00Z,-1.79028809782707,0.224906022085784,0.22472032635557
50,full,1992-03-11T00:00:00Z,0.681298915007134,0.337584236879446,0.337425536409125
50,sym,1992-03-11T00:00:00Z,0.66405531497686,0.281963447688927,0.281791421682144
50,asym,1992-03-11T00:00:00Z,0.262428716791356,0.0556622977855805,0.0554360549244846
700,full,1992-03-12T00:00:00Z,-0.893821002967084,0.0732568854580913,0.0730348578791401
700,sym,1992-03-12T00:00:00Z,-0.26993829096672,0.00622397490456972,0.00598588769204089
