lev,term,time,estimate,r.squared,adj.r.squared
700,full,2016-12-01T00:00:00Z,-0.611766616454153,0.0734155330668058,0.0731935434963859
700,sym,2016-12-01T00:00:00Z,-0.788255181259305,0.11353808936908,0.11332571229418
700,asym,2016-12-01T00:00:00Z,0.200449501708838,0.00518672294436517,0.00494838722873126
50,full,2016-12-01T00:00:00Z,-2.06070469068496,0.303562432159375,0.303395580801483
50,sym,2016-12-01T00:00:00Z,-2.95938252593891,0.55042258789874,0.550314878887695
50,asym,2016-12-01T00:00:00Z,1.05420089914254,0.0882866261759464,0.0880681993973589
700,full,2016-12-02T00:00:00Z,-0.996916201747819,0.18091200196964,0.180715766225023
700,sym,2016-12-02T00:00:00Z,-1.11964417181919,0.212569829493089,0.212381178278306
700,asym,2016-12-02T00:00:00Z,-0.0739699756903638,0.000655432094109121,0.000416010779325737
50,full,2016-12-02T00:00:00Z,-2.12793396463881,0.320588004802753,0.320425232403328
50,sym,2016-12-02T00:00:00Z,-3.01538949454113,0.565972518072628,0.565868534488075
50,asym,2016-12-02T00:00:00Z,1.00980122390508,0.0802295604465348,0.0800092033694976
700,full,2016-12-03T00:00:00Z,-0.881371268754867,0.139284648639266,0.139078439882351
700,sym,2016-12-03T00:00:00Z,-0.958396060215085,0.153414715707426,0.153211892208554
700,asym,2016-12-03T00:00:00Z,-0.141885463569381,0.00237535192130312,0.00213634266206053
50,full,2016-12-03T00:00:00Z,-2.05095834912778,0.327139977245537,0.326978774556808
50,sym,2016-12-03T00:00:00Z,-2.88628081112979,0.569606104280575,0.56950299122458
50,asym,2016-12-03T00:00:00Z,0.934343467828872,0.0754509472895122,0.0752294453602571
700,full,2016-12-04T00:00:00Z,-0.553664254408061,0.0595353552394481,0.059310040279036
700,sym,2016-12-04T00:00:00Z,-0.721078976324695,0.0940674022223331,0.0938503603924871
700,asym,2016-12-04T00:00:00Z,0.20009287142431,0.00511695846293858,0.00487860603324586
50,full,2016-12-04T00:00:00Z,-1.80166967413151,0.301021440389943,0.300853980265456
50,sym,2016-12-04T00:00:00Z,-2.55830677972764,0.533617260817293,0.533505525613847
50,asym,2016-12-04T00:00:00Z,0.865177863195632,0.07714175979839,0.0769206629511926
700,full,2016-12-05T00:00:00Z,-0.502540204190582,0.0478449060381117,0.0476167902992611
700,sym,2016-12-05T00:00:00Z,-0.632325700322855,0.0705614107279506,0.0703387373716324
700,asym,2016-12-05T00:00:00Z,0.127745513806088,0.0020344736871647,0.00179538276087987
50,full,2016-12-05T00:00:00Z,-1.59427281591745,0.271409291732128,0.271234737178159
50,sym,2016-12-05T00:00:00Z,-2.30192464125248,0.497461146886492,0.497340749461213
50,asym,2016-12-05T00:00:00Z,0.839659242030489,0.0836637307267419,0.083444196402527
700,full,2016-12-06T00:00:00Z,-0.567912995322828,0.0528231543517522,0.0525962312933793
700,sym,2016-12-06T00:00:00Z,-0.694514982773311,0.0735894339476095,0.0733674860400742
700,asym,2016-12-06T00:00:00Z,0.0956042445079143,0.000985103237902907,0.000745760905185522
50,full,2016-12-06T00:00:00Z,-1.42357468328638,0.235385257486842,0.235202072354472
50,sym,2016-12-06T00:00:00Z,-2.12287573617913,0.460198741441912,0.460069416751313
50,asym,2016-12-06T00:00:00Z,0.880783720003022,0.100135704182704,0.0999201161865813
700,full,2016-12-07T00:00:00Z,-0.526522716101545,0.0426738842361281,0.0424445296324472
700,sym,2016-12-07T00:00:00Z,-0.737993864031677,0.0780953105235521,0.0778744421264567
700,asym,2016-12-07T00:00:00Z,0.317276507250181,0.010196954017186,0.00995981864440632
50,full,2016-12-07T00:00:00Z,-1.37191156525069,0.240512308508947,0.240330351706961
50,sym,2016-12-07T00:00:00Z,-2.02181944367047,0.459248073514983,0.459118521064939
50,asym,2016-12-07T00:00:00Z,0.802146026467123,0.0913742020043425,0.0911565149420531
700,full,2016-12-08T00:00:00Z,-0.368273552012079,0.0242634978268689,0.0240297324933343
700,sym,2016-12-08T00:00:00Z,-0.47606575019105,0.0377691950442791,0.0375386653832931
700,asym,2016-12-08T00:00:00Z,0.124431073591919,0.0018227903652771,0.00158364872425287
50,full,2016-12-08T00:00:00Z,-1.26790118765335,0.241618242926856,0.241436551082804
50,sym,2016-12-08T00:00:00Z,-1.85607738823339,0.455227613156736,0.455097097491465
50,asym,2016-12-08T00:00:00Z,0.717116860348756,0.0858955021927592,0.085676502552652
700,full,2016-12-09T00:00:00Z,-0.362610388532709,0.0219395918448453,0.0217052697537684
700,sym,2016-12-09T00:00:00Z,-0.453591289376164,0.0319793017363572,0.0317473849423314
700,asym,2016-12-09T00:00:00Z,0.0856962698824618,0.000806377826436888,0.000566992674981726
50,full,2016-12-09T00:00:00Z,-1.18903680930573,0.263427041929804,0.263250575001661
50,sym,2016-12-09T00:00:00Z,-1.70863838973432,0.478241884812891,0.478116882868668
50,asym,2016-12-09T00:00:00Z,0.610339304284308,0.0771336858569733,0.0769125870754345
700,full,2016-12-10T00:00:00Z,-0.299056183022717,0.0143848597832105,0.014148727741951
700,sym,2016-12-10T00:00:00Z,-0.393406256147252,0.0231885765805444,0.0229545537191598
700,asym,2016-12-10T00:00:00Z,0.117609737742979,0.00146404121973176,0.00122481363018201
50,full,2016-12-10T00:00:00Z,-1.22504150731331,0.334718642420403,0.334559255415712
50,sym,2016-12-10T00:00:00Z,-1.67416075570027,0.549604324840061,0.549496419790909
50,asym,2016-12-10T00:00:00Z,0.461258227099438,0.0527349084324722,0.0525079642322883
700,full,2016-12-11T00:00:00Z,-0.157553115255779,0.00412871447412599,0.00389012528257682
700,sym,2016-12-11T00:00:00Z,-0.171848054370195,0.00457553207999906,0.00433704993627126
700,asym,2016-12-11T00:00:00Z,-0.0240850679209367,6.34926262448321e-05,-0.000176070504414927
50,full,2016-12-11T00:00:00Z,-1.21467866733656,0.39254787133146,0.392402338957557
50,sym,2016-12-11T00:00:00Z,-1.61762429469262,0.612072225988287,0.611979286895328
50,asym,2016-12-11T00:00:00Z,0.375000950692684,0.0415782501044829,0.0413486330105932
700,full,2016-12-12T00:00:00Z,-0.109484537180967,0.00171713422697584,0.00147796727302918
700,sym,2016-12-12T00:00:00Z,-0.0745912720728243,0.000742448277342933,0.000503047809752411
700,asym,2016-12-12T00:00:00Z,-0.125659797187737,0.00148853160550089,0.00124930988331717
50,full,2016-12-12T00:00:00Z,-1.09201668665116,0.394635058902586,0.394490026573622
50,sym,2016-12-12T00:00:00Z,-1.44439273641137,0.606995176824811,0.60690102138083
50,asym,2016-12-12T00:00:00Z,0.317932419338771,0.0371739231656458,0.03694325089041
700,full,2016-12-13T00:00:00Z,-0.277384377691206,0.0104827757957938,0.0102457088997219
700,sym,2016-12-13T00:00:00Z,-0.357491065816293,0.0162193778798384,0.0159836853493831
700,asym,2016-12-13T00:00:00Z,0.0910911426598983,0.000743928644909131,0.000504528531982684
50,full,2016-12-13T00:00:00Z,-1.08920247873301,0.375876278711976,0.375726752185553
50,sym,2016-12-13T00:00:00Z,-1.43182844357926,0.571067152906951,0.570964389886565
50,asym,2016-12-13T00:00:00Z,0.299928542216347,0.0316734172247767,0.0314414271474468
700,full,2016-12-14T00:00:00Z,-0.48370658156411,0.0343460410349729,0.0341146912604244
700,sym,2016-12-14T00:00:00Z,-0.60178649506999,0.0495209618229737,0.0492932476307895
700,asym,2016-12-14T00:00:00Z,0.106333829128663,0.00109225056465923,0.000852933902120712
50,full,2016-12-14T00:00:00Z,-1.10581398333004,0.399079186449977,0.398935218837723
50,sym,2016-12-14T00:00:00Z,-1.44631136500046,0.600200087385272,0.600104303985029
50,asym,2016-12-14T00:00:00Z,0.290210163724864,0.0305458216428415,0.0303135614180314
700,full,2016-12-15T00:00:00Z,-0.64984108742534,0.0582608419926504,0.0580352216864675
700,sym,2016-12-15T00:00:00Z,-0.669497975462907,0.0576039764811565,0.0573781988042233
700,asym,2016-12-15T00:00:00Z,-0.194843481736881,0.00344667922286768,0.00320792663044378
50,full,2016-12-15T00:00:00Z,-1.13451483712954,0.456295120057813,0.456164860144075
50,sym,2016-12-15T00:00:00Z,-1.45276821359085,0.657802705535775,0.65772072247529
50,asym,2016-12-15T00:00:00Z,0.237335133628471,0.0221912201834986,0.0219569583771219
700,full,2016-12-16T00:00:00Z,-0.572483958190706,0.0545431683848876,0.0543166574046253
700,sym,2016-12-16T00:00:00Z,-0.514795031684237,0.0410841132884756,0.0408543778101067
700,asym,2016-12-16T00:00:00Z,-0.353902803120531,0.013716660962644,0.0134803688354189
50,full,2016-12-16T00:00:00Z,-1.07165252814669,0.452705317684768,0.452574197732129
50,sym,2016-12-16T00:00:00Z,-1.38276591928239,0.662647368355144,0.662566545970945
50,asym,2016-12-16T00:00:00Z,0.244580106823544,0.0262048406260499,0.0259715403962048
700,full,2016-12-17T00:00:00Z,-0.714632335714684,0.0809772649818114,0.0807570870385871
700,sym,2016-12-17T00:00:00Z,-0.71826836105535,0.0762013659640835,0.0759800438188903
700,asym,2016-12-17T00:00:00Z,-0.257960575949783,0.00694338319147014,0.00670546833358587
50,full,2016-12-17T00:00:00Z,-1.05702943087357,0.468966272429988,0.468839048249928
50,sym,2016-12-17T00:00:00Z,-1.37451561744879,0.697179071151784,0.697106521815693
50,asym,2016-12-17T00:00:00Z,0.261879078096953,0.0319890033433201,0.0317570888735892
700,full,2016-12-18T00:00:00Z,-0.931376370168692,0.121076328076531,0.120865757000363
700,sym,2016-12-18T00:00:00Z,-0.898441836868732,0.104949470178341,0.104735035456294
700,asym,2016-12-18T00:00:00Z,-0.427739430896487,0.0168048277615197,0.0165692754921765
50,full,2016-12-18T00:00:00Z,-1.02638855174611,0.516835957018379,0.516720201377991
50,sym,2016-12-18T00:00:00Z,-1.30360560673198,0.732991763298155,0.732927793907474
50,asym,2016-12-18T00:00:00Z,0.193910665436491,0.0205004864833314,0.0202658196137778
700,full,2016-12-19T00:00:00Z,-1.16850190424965,0.203157720128863,0.202966813976522
700,sym,2016-12-19T00:00:00Z,-0.980544330732335,0.133260197622429,0.133052545537527
700,asym,2016-12-19T00:00:00Z,-0.892949950950946,0.0780720165726637,0.0778511425948421
50,full,2016-12-19T00:00:00Z,-0.969104643656847,0.526096918136112,0.525983381221435
50,sym,2016-12-19T00:00:00Z,-1.21846109157632,0.731181632205789,0.731117229146902
50,asym,2016-12-19T00:00:00Z,0.159010441357899,0.0157400948974573,0.0155042875411797
700,full,2016-12-20T00:00:00Z,-1.01064876404889,0.177459282098355,0.177262219156836
700,sym,2016-12-20T00:00:00Z,-0.906541403683443,0.133004095871068,0.132796382429733
700,asym,2016-12-20T00:00:00Z,-0.630274193701249,0.0454175761462274,0.0451888788717056
50,full,2016-12-20T00:00:00Z,-0.915261003891185,0.481175036644938,0.481050737420368
50,sym,2016-12-20T00:00:00Z,-1.1697640605513,0.691014644786384,0.690940618587243
50,asym,2016-12-20T00:00:00Z,0.187104347583828,0.0223466578627668,0.0221124332958915
700,full,2016-12-21T00:00:00Z,-0.912569176654018,0.154942839294898,0.154740381901342
700,sym,2016-12-21T00:00:00Z,-0.907892194456506,0.142856494365011,0.142651141344974
700,asym,2016-12-21T00:00:00Z,-0.352056284242015,0.0151750734065362,0.0149391306833466
50,full,2016-12-21T00:00:00Z,-0.820821047144418,0.450212190907477,0.450080473655658
50,sym,2016-12-21T00:00:00Z,-1.07767425778457,0.682296014173379,0.682219899179171
50,asym,2016-12-21T00:00:00Z,0.223403605827248,0.037062293567506,0.0368315945482361
700,full,2016-12-22T00:00:00Z,-1.30061973731254,0.24056982811569,0.240387885094155
700,sym,2016-12-22T00:00:00Z,-1.2075425096152,0.19316873662356,0.192975437327112
700,asym,2016-12-22T00:00:00Z,-0.711728186631822,0.0474062375770279,0.0471780167427147
50,full,2016-12-22T00:00:00Z,-0.835621595258831,0.431283779015043,0.431147526925684
50,sym,2016-12-22T00:00:00Z,-1.10521591643994,0.663308570205929,0.663227906231374
50,asym,2016-12-22T00:00:00Z,0.243193195559819,0.0405955383101717,0.0403656857798196
700,full,2016-12-23T00:00:00Z,-1.49982711547921,0.280499966495876,0.280327589870695
700,sym,2016-12-23T00:00:00Z,-1.1795931654091,0.161624208956377,0.161423352274287
700,asym,2016-12-23T00:00:00Z,-1.33805714914812,0.146915094060041,0.14671071339259
50,full,2016-12-23T00:00:00Z,-0.781698501015601,0.349355939021802,0.349200058796364
50,sym,2016-12-23T00:00:00Z,-1.06873082488549,0.574121455173694,0.574019423897981
50,asym,2016-12-23T00:00:00Z,0.295202320564523,0.0553682450498619,0.0551419317400991
700,full,2016-12-24T00:00:00Z,-1.46854354682202,0.270163253510575,0.269988400432834
700,sym,2016-12-24T00:00:00Z,-1.02348618679843,0.122238523680666,0.122028231041394
700,asym,2016-12-24T00:00:00Z,-1.62968100099481,0.218939692890243,0.218752567756772
50,full,2016-12-24T00:00:00Z,-0.711278042146017,0.29367685949806,0.293507639771059
50,sym,2016-12-24T00:00:00Z,-0.965934115715013,0.476171575505635,0.476046077560141
50,asym,2016-12-24T00:00:00Z,0.255939734171029,0.0422569360835915,0.0420274815881635
700,full,2016-12-25T00:00:00Z,-1.09916828307459,0.187987771932055,0.187793231388675
700,sym,2016-12-25T00:00:00Z,-0.805680121611627,0.094084488174516,0.093867450438094
700,asym,2016-12-25T00:00:00Z,-1.12348967751222,0.129242716433505,0.129034101847121
50,full,2016-12-25T00:00:00Z,-0.646009265763638,0.323457910379431,0.323295825547227
50,sym,2016-12-25T00:00:00Z,-0.795637092035664,0.431367933879156,0.431231701951479
50,asym,2016-12-25T00:00:00Z,0.0737458627517109,0.00468432755285353,0.00444587147416475
700,full,2016-12-26T00:00:00Z,-0.748081406311753,0.0952547874269153,0.0950380300688479
