lev,term,time,estimate,r.squared,adj.r.squared
700,full,1966-06-01T00:00:00Z,-0.582301100367252,0.0489404447896353,0.0487125915181427
700,sym,1966-06-01T00:00:00Z,-0.751186423932809,0.0758681783872478,0.0756467764175275
700,asym,1966-06-01T00:00:00Z,0.192975152920278,0.00353705781121938,0.00329832687154785
50,full,1966-06-01T00:00:00Z,-1.05359587394435,0.118347299870472,0.118136074978252
50,sym,1966-06-01T00:00:00Z,-0.513776535762546,0.0247420851303146,0.0245084344559328
50,asym,1966-06-01T00:00:00Z,-1.40315435216618,0.233266717753011,0.233083025064403
700,full,1966-06-02T00:00:00Z,-0.511997491761354,0.0462453121767237,0.0460168132098278
700,sym,1966-06-02T00:00:00Z,-0.505032439005183,0.0419142889371179,0.0416847523508546
700,asym,1966-06-02T00:00:00Z,-0.208069472060916,0.00502591870230984,0.00478754446146223
50,full,1966-06-02T00:00:00Z,-1.03439016025993,0.151213712152664,0.151010361341009
50,sym,1966-06-02T00:00:00Z,-0.500505940510555,0.0311256493099633,0.0308935279993045
50,asym,1966-06-02T00:00:00Z,-1.38516626037056,0.301340756816729,0.301173373193542
700,full,1966-06-03T00:00:00Z,-0.216867881858419,0.00825774385153411,0.00802014388599792
700,sym,1966-06-03T00:00:00Z,0.00339251443486523,1.88237369691535e-06,-0.000237695517445014
700,asym,1966-06-03T00:00:00Z,-0.616165119654255,0.0438663835475303,0.0436373146408574
50,full,1966-06-03T00:00:00Z,-0.973524018001749,0.136082979934377,0.135876004126982
50,sym,1966-06-03T00:00:00Z,-0.261603690930878,0.00863924394227711,0.00840173537589994
50,asym,1966-06-03T00:00:00Z,-1.71073136312128,0.466988038290533,0.466860340168418
700,full,1966-06-04T00:00:00Z,0.118463830684642,0.00263952473571216,0.00240057876655442
700,sym,1966-06-04T00:00:00Z,0.277097918506043,0.0134527857163534,0.0132164303703344
700,asym,1966-06-04T00:00:00Z,-0.341231722479942,0.0144118478725492,0.0141757222970516
50,full,1966-06-04T00:00:00Z,-0.763047024501039,0.0910035542168337,0.0907857783553619
50,sym,1966-06-04T00:00:00Z,-0.0204828512493257,5.76519635532291e-05,-0.000181912566402875
50,asym,1966-06-04T00:00:00Z,-1.69956819038775,0.501723667322597,0.501604291104897
700,full,1966-06-05T00:00:00Z,-0.132859470230191,0.00290163909875008,0.00266275592651699
700,sym,1966-06-05T00:00:00Z,-0.0756069405844074,0.000875332788738525,0.000635964157398972
700,asym,1966-06-05T00:00:00Z,-0.188716237639953,0.0038525082838432,0.00361385291927296
50,full,1966-06-05T00:00:00Z,-0.770738614791914,0.119277556989848,0.119066554967086
50,sym,1966-06-05T00:00:00Z,-0.178823296243332,0.00564508160295596,0.00540685570012967
50,asym,1966-06-05T00:00:00Z,-1.40936407774753,0.443223263060057,0.443089871412491
700,full,1966-06-06T00:00:00Z,-0.643672403380174,0.0508176835542953,0.0505902800285536
700,sym,1966-06-06T00:00:00Z,-0.43601968588311,0.0217214486488363,0.0214870742953741
700,asym,1966-06-06T00:00:00Z,-0.74487033497092,0.044782993690341,0.0445541443836066
50,full,1966-06-06T00:00:00Z,-1.14785198431264,0.259252534821618,0.259075067771983
50,sym,1966-06-06T00:00:00Z,-0.684932868820562,0.0811567751394368,0.0809366402029584
50,asym,1966-06-06T00:00:00Z,-1.28536745429996,0.361274645126284,0.361121620364695
